substation,x,y
Banja Luka (BA),17.21542,44.770082
Lika (HR),15.26017,44.886816
Zwolle (NL),6.1901,52.53
Rilland (NL),4.218787,51.424034
Tilburg (NL),5.061511,51.608344
Eemshaven Oude Schip (NL),6.862244,53.435981
Vierverlaten (NL),6.474759,53.213488
Bodelwyddan (UK),-3.474151,53.250084
Bellacorick (IE),-9.578832,54.120411
Maynooth (IE),-6.602175,53.348929
Oldstreet (IE),-8.268819,53.134319
Bitola (MK),21.340293,41.067012
Ohrid (MK),20.725963,41.239159
Ohrid area (MK),20.725963,41.239159
Lienz (AT),12.806116,46.824895
Meliti (GR),21.597545,40.81117
Wilhelmshaven (DE),8.063391,53.55594
Heide/West (DE),9.051108,54.162374
Kilroot 275kV (UK),-5.767996,54.727146
Panevežys (LT),24.306241,55.762574
Dollern (DE),9.501671,53.542746
Wahle (DE),10.365472,52.284983
Lamspringe (DE),9.988131,51.954234
Hardegsen (DE),9.852428,51.649318
Nuojuankangas (FI),26.7079055,64.5785337
Tuomela B (FI),25.6047238,65.5583909
Petäjävesi (FI),25.143048,62.279775
Emden (DE),7.2444,53.3573
Kemsley (UK),0.74123,51.368231
Corringham (UK),0.447043,51.525276
Norwich Main (UK),1.272418,52.574175
Westtirol (AT),10.8741,47.24462
Zone 5 (HR),16.78425,43.503952
Ploce (HR),17.436701,43.052743
Plat (HR),18.23576,42.610562
Schleswig Holstein area (DE),9.24507,53.974717
Wendlingen (DE),9.400835,48.667035
Laino (IT),16.027636,39.989782
Montecorvino (IT),14.983194,40.644763
Avellino (IT),14.808721,40.920821
Borssele (NL),4.218787,51.424034
New substation on Gotland (SE),18.455518,57.470447
Oskarshamn (SE),16.420874,57.249416
SS Subotica 3 (RS),19.714125,46.039762
SS Sombor 3 (RS),19.167135,45.767562
SS Srbobran (RS),19.767505,45.537959
Thessaloniki (GR),22.924213,40.691429
Dubrovo (MK),22.145389,41.461817
Arachtos (GR),20.9656,39.184
Feira (PT),-8.389435,40.95916
Vila Nova de Famalicão (PT),-8.613236320833042,41.35747938425103
Cubnezais (FR),-0.435896,45.069715
Glorenza (IT),10.57027,46.67241
Colunga (IT),11.4614,44.4837
S. Barbara (IT),13.3866373,42.3629984
Mirovka (CZ),15.5993,49.5808
Prestice (CZ),13.3354,49.5895
Bentwisch (DE),12.21358,54.11212
Kassø (DK),9.2695,55.0371
Gonyu (HU),17.8038,47.7378
Velky Dur (SK),18.4254,48.206
Sajoivanka (HU),20.5909,48.2619
Riga HPP (LV),24.2679,56.8511
Seabank (GB),-2.6704,51.537
Turleenan (NI),-6.6772,54.4674
Tavira (PT),-7.766,37.3449
Divor,-7.9205,38.6333
Lixhe (BE),5.6681,50.7544
Geertruidenberg (NL),4.8332,51.7012
Maasbracht (NL),5.9181,51.1488
La Martyre (FR),-4.19358,48.44426
Blyth (GB),-1.531,55.1414
Messaure (SE),20.3308,66.6807
Stanislawow (PL),21.5567,52.2697
Nybro/Hemsjo (SE),14.711,56.3209
Isar (DE),12.297,48.6071
Gutinas (RO),26.8213,46.2238
Burgas(BG),27.3569,42.6171
