,tyndp_status,length,commissioning_year,underground,v_nom,tags,bus0,bus1,geometry
110,in_permitting,45.2,2026,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/227"", ""tyndp2020_proj_id""=>""227""",2119,2122,"LINESTRING (19.500315 43.953021, 19.388123 43.723475)"
112,in_permitting,100.0,2026,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/227"", ""tyndp2020_proj_id""=>""227""",2119,2124,"LINESTRING (19.500315 43.953021, 19.315338 43.347152)"
114,under_construction,151.0,2019,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/227"", ""tyndp2020_proj_id""=>""227""",2147,2124,"LINESTRING (18.772888 42.315909, 19.315338 43.347152)"
116,under_construction,,2020,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/227"", ""tyndp2020_proj_id""=>""227""",2175,2176,"LINESTRING (20.928955 44.056999, 20.739984 43.680615)"
118,planned_not_yet_permitting,32.0,2025,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/228"", ""tyndp2020_proj_id""=>""228""",3581,3565,"LINESTRING (7.50366199999999 47.891485, 7.71240200000001 48.103763)"
119,under_consideration,40.0,2035,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/229"", ""tyndp2020_proj_id""=>""229""",5727,4635,"LINESTRING (15.038505 52.76751, 15.5 51.93333)"
120,under_consideration,40.0,2035,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/229"", ""tyndp2020_proj_id""=>""229""",4635,4638,"LINESTRING (15.5 51.93333, 16.729431 52.32359)"
122,under_consideration,90.0,2035,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/229"", ""tyndp2020_proj_id""=>""229""",4635,4641,"LINESTRING (15.5 51.93333, 16.056519 51.449728)"
123,under_consideration,80.0,2035,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/229"", ""tyndp2020_proj_id""=>""229""",4635,4619,"LINESTRING (15.5 51.93333, 14.615936 52.125058)"
125,in_permitting,100.0,2024,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/230"", ""tyndp2020_proj_id""=>""230""",4630,4645,"LINESTRING (15.086975 51.069017, 16.365509 50.816348)"
128,under_consideration,11.0,2030,False,380.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/231"", ""tyndp2020_proj_id""=>""231""",3603,3601,"LINESTRING (8.16970799999999 47.523693, 8.205414 47.649662)"
