,tyndp_status,length,commissioning_year,underground,v_nom,tags,bus0,bus1,geometry
2,in_permitting,131.0,2022,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/1"", ""tyndp2020_proj_id""=>""1""",2887,1727,"LINESTRING (-7.793621146853301 41.52102394053344, -8.38943499999999 40.95916)"
4,in_permitting,30.0,2022,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/4"", ""tyndp2020_proj_id""=>""4""",2854,2861,"LINESTRING (-8.273869552394737 42.46748640601422, -7.94998199999999 42.383908)"
5,in_permitting,140.21,2022,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/4"", ""tyndp2020_proj_id""=>""4""",2861,2811,"LINESTRING (-7.94998199999999 42.383908, -8.582626164089064 41.764651842353146)"
6,in_permitting,140.21,2022,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/4"", ""tyndp2020_proj_id""=>""4""",2811,8734,"LINESTRING (-8.582626164089064 41.764651842353146, -8.67645299999999 41.303603)"
10,under_construction,23.0,2022,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/23"", ""tyndp2020_proj_id""=>""23""",5118,5075,"LINESTRING (3.08990499999999 50.50906, 3.429108 50.773813)"
12,under_construction,26.0,2023,False,220.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/26"", ""tyndp2020_proj_id""=>""26""",8736,8736,"LINESTRING (10.465851 46.8808455082082, 10.465851 46.8808455082082)"
15,in_permitting,80.0,2023,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/33"", ""tyndp2020_proj_id""=>""33""",2374,8266,"LINESTRING (11.126404 43.872158, 11.413422 44.580687)"
16,planned_not_yet_permitting,350.0,2026,False,220.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/33"", ""tyndp2020_proj_id""=>""33""",2258,8395,"LINESTRING (14.028168 42.409263, 13.345642 42.426498)"
17,in_permitting,120.5,2026,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/35"", ""tyndp2020_proj_id""=>""35""",4662,4673,"LINESTRING (14.3524 49.1584, 15.687103 49.531448)"
18,in_permitting,117.0,2028,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/35"", ""tyndp2020_proj_id""=>""35""",4662,4615,"LINESTRING (14.3524 49.1584, 13.282471 49.60804)"
19,under_construction,24.0,2020,True,150.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/36"", ""tyndp2020_proj_id""=>""36""",5655,5685,"LINESTRING (12.311554 55.670615, 12.271729 54.068253)"
21,under_construction,110.0,2020,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/39"", ""tyndp2020_proj_id""=>""39""",5833,5820,"LINESTRING (9.75860599999998 54.306108, 9.29580699999999 55.075223)"
22,planned_not_yet_permitting,157.0,2027,False,380.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/47"", ""tyndp2020_proj_id""=>""47""",8490,3813,"LINESTRING (10.06485 48.282279, 10.897064 47.236355)"
23,under_construction,110.0,2020,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/48"", ""tyndp2020_proj_id""=>""48""",3282,3285,"LINESTRING (17.539673 47.882276, 17.786865 47.653363)"
24,under_construction,110.0,2020,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/48"", ""tyndp2020_proj_id""=>""48""",3282,8615,"LINESTRING (17.539673 47.882276, 18.540802 48.236565)"
25,under_construction,48.0,2020,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/48"", ""tyndp2020_proj_id""=>""48""",3324,3327,"LINESTRING (19.958038 48.380882, 20.55954 48.263084)"
29,in_permitting,60.0,2024,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/78"", ""tyndp2020_proj_id""=>""78""",5202,5224,"LINESTRING (-3.21075400000001 51.135416, -2.633972 51.533523)"
30,in_permitting,138.0,2023,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/81"", ""tyndp2020_proj_id""=>""81""",6085,6068,"LINESTRING (-6.61376999999999 53.441446, -6.65496799999999 54.509921)"
32,planned_not_yet_permitting,83.0,2030,False,275.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/82"", ""tyndp2020_proj_id""=>""82""",6063,8864,"LINESTRING (-8.41964699999999 54.209042, -8.0041 54.6773)"
34,planned_not_yet_permitting,58.0,2030,False,275.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/82"", ""tyndp2020_proj_id""=>""82""",8864,8865,"LINESTRING (-8.0041 54.6773, -7.2811 54.5781)"
35,planned_not_yet_permitting,61.0,2030,False,275.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/82"", ""tyndp2020_proj_id""=>""82""",8865,6068,"LINESTRING (-7.2811 54.5781, -6.65496799999999 54.509921)"
37,planned_not_yet_permitting,61.0,2023,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/85"", ""tyndp2020_proj_id""=>""85""",1782,8866,"LINESTRING (-8.046112 38.05458, -8.1897 37.6672)"
38,planned_not_yet_permitting,61.0,2023,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/85"", ""tyndp2020_proj_id""=>""85""",8866,1787,"LINESTRING (-8.1897 37.6672, -7.73025499999999 37.397437)"
39,planned_not_yet_permitting,75.0,2023,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/85"", ""tyndp2020_proj_id""=>""85""",1783,1781,"LINESTRING (-7.55310100000001 38.17991, -7.89230299999999 38.808681)"
41,under_construction,75.0,2022,False,380.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/103"", ""tyndp2020_proj_id""=>""103""",5094,5757,"LINESTRING (4.9617 52.333661, 5.763702 52.619725)"
47,in_permitting,200.0,2025,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/111"", ""tyndp2020_proj_id""=>""111""",6910,8256,"LINESTRING (24.612122 65.877531, 20.232697 66.70191)"
48,in_permitting,156.0,2024,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/111"", ""tyndp2020_proj_id""=>""111""",6910,6921,"LINESTRING (24.612122 65.877531, 26.114502 64.778807)"
49,under_construction,108.0,2023,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/123"", ""tyndp2020_proj_id""=>""123""",5618,4522,"LINESTRING (21.625214 53.051946, 21.40686 52.213497)"
50,in_permitting,160.0,2026,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/124"", ""tyndp2020_proj_id""=>""124""",6348,6350,"LINESTRING (16.659393 57.43682, 14.749146 56.326437)"
51,in_permitting,178.0,2024,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/127"", ""tyndp2020_proj_id""=>""127""",2290,2258,"LINESTRING (15.636292 41.359288, 14.028168 42.409263)"
53,under_construction,30.0,2021,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/127"", ""tyndp2020_proj_id""=>""127""",2291,1322,"LINESTRING (15.555267 41.165216, 15.3286 40.9749)"
57,under_construction,159.0,2023,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/138"", ""tyndp2020_proj_id""=>""138""",2058,3264,"LINESTRING (28.02475 44.323848, 26.7166 45.0762)"
