,x,y,commissioning_year,v_nom,dc,tags
8864,-7.2811,54.5781,2030,275.0,False,"""name""=>""Omagh South"", ""country""=>""NI"", ""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/82"", ""tyndp2020_proj_id""=>""82"", ""tyndp2020_invest_id""=>""896"", ""tyndp_status""=>""planned_not_yet_permitting"""
8865,-8.0041,54.6773,2030,275.0,False,"""name""=>""South Donegal"", ""country""=>""IE"", ""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/82"", ""tyndp2020_proj_id""=>""82"", ""tyndp2020_invest_id""=>""463"", ""tyndp_status""=>""planned_not_yet_permitting"""
8866,-9.578832,54.120411,2025,320.0,True,"""name""=>""Bellacorick"", ""country""=>""IE"", ""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/349"", ""tyndp2020_proj_id""=>""349"", ""tyndp2020_invest_id""=>""1641"", ""tyndp_status""=>""planned_not_yet_permitting"""
8867,-8.1897,37.6672,2023,400.0,False,"""name""=>""Ourique"", ""country""=>""PT"", ""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/85"", ""tyndp2020_proj_id""=>""85"", ""tyndp2020_invest_id""=>""780"", ""tyndp_status""=>""planned_not_yet_permitting"""
8868,-1.14818,42.10892,2030,400.0,False,"""name""=>""Ejea de los Caballeros"", ""country""=>""ES"", ""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/270"", ""tyndp2020_proj_id""=>""270"", ""tyndp2020_invest_id""=>""1214"", ""tyndp_status""=>""planned_not_yet_permitting"""
8869,9.556022,47.302744,2035,380.0,False,"""name""=>""Rüthi"", ""country""=>""CH"", ""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/263"", ""tyndp2020_proj_id""=>""263"", ""tyndp2020_invest_id""=>""1258"", ""tyndp_status""=>""under_consideration"""
