,length,commissioning_year,underground,v_nom,p_nom,tags,bus0,bus1,geometry
174,225.0,2029,False,,2000.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/276"", ""tyndp2020_proj_id""=>""276"", ""tyndp2020_invest_id""=>""1206"", ""tyndp_status""=>""planned_not_yet_permitting""",2732,2706,"LINESTRING (-1.645402 42.818157, -0.812988000000009 43.979969)"
306,195.0,2036,True,320.0,500.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/1068"", ""tyndp2020_proj_id""=>""1068"", ""tyndp2020_invest_id""=>""1740"", ""tyndp_status""=>""under_consideration""",6300,6302,"LINESTRING (18.227692 57.571097, 21.100616 56.489036)"
181,156.0,2022,True,525.0,1500.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/285"", ""tyndp2020_proj_id""=>""285"", ""tyndp2020_invest_id""=>""1383"", ""tyndp_status""=>""planned_not_yet_permitting""",4969,4991,"LINESTRING (0.575409000000004 51.430896, 2.16293300000001 50.923813)"
54,540.0,2025,True,525.0,,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/130"", ""tyndp2020_proj_id""=>""130"", ""tyndp2020_invest_id""=>""665"", ""tyndp_status""=>""in_permitting""",4548,3381,"LINESTRING (11.637268 52.27404, 12.292328 48.659222)"
55,300.0,2025,False,380.0,,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/132"", ""tyndp2020_proj_id""=>""132"", ""tyndp2020_invest_id""=>""661"", ""tyndp_status""=>""in_permitting""",5770,4665,"LINESTRING (7.23587000000001 53.374317, 6.58493 51.245584)"
182,195.0,2023,True,,500.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/286"", ""tyndp2020_proj_id""=>""286"", ""tyndp2020_invest_id""=>""1385"", ""tyndp_status""=>""planned_not_yet_permitting""",5295,5183,"LINESTRING (-6.96670499999999 52.27404, -4.850464 51.728729)"
312,110.0,2036,False,525.0,2000.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/1077"", ""tyndp2020_proj_id""=>""1077"", ""tyndp2020_invest_id""=>""1747"", ""tyndp_status""=>""under_consideration""",1209,2213,"LINESTRING (22.9422 40.662931, 22.111359 41.50035)"
313,170.0,2036,False,525.0,2000.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/1077"", ""tyndp2020_proj_id""=>""1077"", ""tyndp2020_invest_id""=>""1748"", ""tyndp_status""=>""under_consideration""",2213,2012,"LINESTRING (22.111359 41.50035, 23.03833 42.549034)"
315,180.0,2036,False,525.0,2000.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/1081"", ""tyndp2020_proj_id""=>""1081"", ""tyndp2020_invest_id""=>""1749"", ""tyndp_status""=>""under_consideration""",1294,2198,"LINESTRING (21.137695 39.279042, 19.966278 41.16108)"
190,665.0,2026,True,600.0,1800.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/296"", ""tyndp2020_proj_id""=>""296"", ""tyndp2020_invest_id""=>""1437"", ""tyndp_status""=>""under_consideration""",2689,4169,"LINESTRING (-1.972046 43.32318, -1.847076 47.30531)"
191,665.0,2026,True,600.0,1800.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/296"", ""tyndp2020_proj_id""=>""296"", ""tyndp2020_invest_id""=>""1437"", ""tyndp_status""=>""under_consideration""",4169,5209,"LINESTRING (-1.847076 47.30531, -3.967438 50.489842)"
197,100.0,2024,True,200.0,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/299"", ""tyndp2020_proj_id""=>""299"", ""tyndp2020_invest_id""=>""1458"", ""tyndp_status""=>""in_permitting""",1376,2380,"LINESTRING (8.63662699999999 40.644178, 9.45098899999999 42.538916)"
198,50.0,2024,False,200.0,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/299"", ""tyndp2020_proj_id""=>""299"", ""tyndp2020_invest_id""=>""1458"", ""tyndp_status""=>""in_permitting""",2380,2385,"LINESTRING (9.45098899999999 42.538916, 10.671844 43.014689)"
71,170.0,2028,True,500.0,,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/150"", ""tyndp2020_proj_id""=>""150"", ""tyndp2020_invest_id""=>""616"", ""tyndp_status""=>""in_permitting""",3427,3488,"LINESTRING (12.516174 45.825928, 14.615936 46.084662)"
199,700.0,2024,True,,1400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/309"", ""tyndp2020_proj_id""=>""309"", ""tyndp2020_invest_id""=>""1628"", ""tyndp_status""=>""in_permitting""",4972,5780,"LINESTRING (0.763549999999995 51.403489, 8.00079299999999 53.55581)"
80,400.0,2026,True,400.0,,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/170"", ""tyndp2020_proj_id""=>""170"", ""tyndp2020_invest_id""=>""1034"", ""tyndp_status""=>""in_permitting""",6303,5589,"LINESTRING (21.295624 56.032924, 18.104095 54.714309)"
90,165.0,2024,True,400.0,,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/174"", ""tyndp2020_proj_id""=>""174"", ""tyndp2020_invest_id""=>""1014"", ""tyndp_status""=>""in_permitting""",3885,3843,"LINESTRING (9.449615 45.620761, 9.253235 46.824496)"
91,300.0,2026,True,400.0,700.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/176"", ""tyndp2020_proj_id""=>""176"", ""tyndp2020_invest_id""=>""995"", ""tyndp_status""=>""in_permitting""",6339,5687,"LINESTRING (13.580475 55.86067, 12.204437 53.760078)"
92,170.0,2030,True,400.0,,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/179"", ""tyndp2020_proj_id""=>""179"", ""tyndp2020_invest_id""=>""1016"", ""tyndp_status""=>""under_consideration""",5643,5683,"LINESTRING (11.969604 55.468735, 12.271729 54.068253)"
222,400.0,2030,True,400.0,1000.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/338"", ""tyndp2020_proj_id""=>""338"", ""tyndp2020_invest_id""=>""1521"", ""tyndp_status""=>""planned_not_yet_permitting""",2258,2231,"LINESTRING (14.028168 42.409263, 12.811432 43.915702)"
223,400.0,2025,True,,,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/339"", ""tyndp2020_proj_id""=>""339"", ""tyndp2020_invest_id""=>""1557"", ""tyndp_status""=>""planned_not_yet_permitting""",1387,1303,"LINESTRING (9.18319700000001 39.374649, 13.304443 38.159396)"
224,500.0,2025,True,,,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/339"", ""tyndp2020_proj_id""=>""339"", ""tyndp2020_invest_id""=>""1557"", ""tyndp_status""=>""planned_not_yet_permitting""",1387,1317,"LINESTRING (9.18319700000001 39.374649, 14.639282 40.688969)"
109,150.0,2035,False,,1000.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/225"", ""tyndp2020_proj_id""=>""225"", ""tyndp2020_invest_id""=>""1107"", ""tyndp_status""=>""under_consideration""",5165,4795,"LINESTRING (5.35583499999999 50.557942, 6.568451 50.403266)"
246,211.0,2025,False,320.0,750.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/349"", ""tyndp2020_proj_id""=>""349"", ""tyndp2020_invest_id""=>""1638"", ""tyndp_status""=>""planned_not_yet_permitting""",5932,8165,"LINESTRING (-3.474151 53.250084, -6.602175 53.348929)"
248,255.0,2025,False,320.0,750.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/349"", ""tyndp2020_proj_id""=>""349"", ""tyndp2020_invest_id""=>""1640"", ""tyndp_status""=>""planned_not_yet_permitting""",8165,8866,"LINESTRING (-6.602175 53.348929, -9.578832 54.120411)"
