,x,y,commissioning_year,v_nom,remarks,description,dc,tags
3786,9.556022,47.302744,2035,380.0,,"Integration of the new 380 kV tie-line Rüthi (CH) - Meiningen (AT) through optimisations between Rüthi and Mettlen, Rüthi and Bonaduz and the construction of a new 380 kV substation and a new 380/220 kV transformer in Rüthi.",False,"""TSO""=>""VUEN"", ""oid""=>""32065"", ""country""=>""AT"", ""visible""=>""1"", ""tie_line_s""=>""1"", ""ModifiedDate""=>""1516184922000"", ""visible_on_printed""=>""1"", ""name""=>""Rüthi"", ""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/263"", ""tyndp2020_proj_id""=>""263"", ""tyndp2020_invest_id""=>""1258"", ""tyndp_status""=>""under_consideration"""
7100,6.590884,49.789617,2025,400.0,,New 400/220-kV-substation,False,"""name""=>""Aach"", ""country""=>""DE"", ""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/328"", ""tyndp2020_proj_id""=>""328"", ""tyndp2020_invest_id""=>""1620"", ""tyndp_status""=>""planned_not_yet_permitting"""
2130,17.436701,43.052743,2035,400.0,"Substation locations not further specified (except Ploce), coordinates based on TYNDP website map.",New 400 kV substation for connetion of new generation and increase of security of supply in the southern area near city of Ploce,False,"""name""=>""Ploce"", ""country""=>""HR"", ""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/1056"", ""tyndp2020_proj_id""=>""1056"", ""tyndp2020_invest_id""=>""1719"", ""tyndp_status""=>""under_consideration"""
2280,16.78425,43.503952,2035,400.0,"Substation locations not further specified (except Ploce), coordinates based on TYNDP website map.",New 400 kV substation interpolated in existing 400 kV line Konjsko - Mostar,False,"""name""=>""Zone 5"", ""country""=>""HR"", ""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/1056"", ""tyndp2020_proj_id""=>""1056"", ""tyndp2020_invest_id""=>""1718"", ""tyndp_status""=>""under_consideration"""
1322,15.3286,40.9749,2021,400.0,,"New 30km single circuit 400kV OHL between the future substations of Deliceto and Bisaccia, in the Candela area",False,"""name""=>""Bisaccia"", ""country""=>""IT"", ""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/127"", ""tyndp2020_proj_id""=>""127"", ""tyndp2020_invest_id""=>""96"", ""tyndp_status""=>""under_construction"""
3264,26.7166,45.0762,2023,400.0,,"To reinforce the cross-section between the Black Sea coast wind generation in Romania and Bulgaria and the consumption and storage centers to the West, the 220 kV OHL Stalpu-Teleajen-Brazi is upgraded to 400 kV, as a continuation of the 400 kV d.c. OHL  Cernavoda-Stalpu. The 220/110 kV substation Stalpu is upgraded to 400/110kV (1x250MVA).",False,"""name""=>""Stalpu"", ""country""=>""RO"", ""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/138"", ""tyndp2020_proj_id""=>""138"", ""tyndp2020_invest_id""=>""715"", ""tyndp_status""=>""under_construction"""
2201,20.725963,41.239159,2020,400.0,"No substation clearly visible in OSM. Location of Ohrid substation not final, based on TYNDP website map.",New 400/110 kV substation in Ohrid area connected in/out to the new 400 kV line Bitola-Elbasan. This SS will contribute to the security of supply in the internal southern network  of the country.,False,"""name""=>""Ohrid area"", ""country""=>""MK"", ""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/350"", ""tyndp2020_proj_id""=>""350"", ""tyndp2020_invest_id""=>""1623"", ""tyndp_status""=>""under_construction"""
3367,21.88777,45.30413,2025,400.0,,"New 400 kV substation Resita (T400/220 kV 400 MVA + T 400/110 kV 250 MVA), as development of the existing 220/110 kV substation.",False,"""name""=>""Resita"", ""country""=>""RO"", ""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/144"", ""tyndp2020_proj_id""=>""144"", ""tyndp2020_invest_id""=>""701"", ""tyndp_status""=>""under_construction"""
3366,21.2815,45.7426,2025,400.0,,Replacement of 220 kV substation Timisoara with 400 kV substation (2x250 MVA 400/110 kV),False,"""name""=>""Timisoara"", ""country""=>""RO"", ""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/144"", ""tyndp2020_proj_id""=>""144"", ""tyndp2020_invest_id""=>""705"", ""tyndp_status""=>""in_permitting"""
2119,19.500315,43.953021,2024,400.0,,Upgrade of existing 220/110 kV substation in Bajina Basta to 400/220/110 kV substation as part of overall western Serbia system upgrade to 400 kV voltage level. Part of larger regional transmission corridor northeast-southwest.,False,"""name""=>""Bajina Basta"", ""country""=>""RS"", ""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/227"", ""tyndp2020_proj_id""=>""227"", ""tyndp2020_invest_id""=>""631"", ""tyndp_status""=>""in_permitting"""
4635,15.5,51.93333,2035,,,"Construction of new substation 400/110 kV Zielona Góra to connect 400 kV lines : Baczyna - Zielona Góra, Zielona Góra - Plewiska, Zielona Góra - Eisenhuettenstadt (with installation of Phase Shifting Transformers), Zielona Góra - Polkowice",False,"""name""=>""Zielona Góra"", ""country""=>""PL"", ""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/229"", ""tyndp2020_proj_id""=>""229"", ""tyndp2020_invest_id""=>""1272"", ""tyndp_status""=>""under_consideration"""
3318,18.420959,45.289022,2033,400.0,,Upgrading existing 220 kV SS Dakovo to 400 kV enables connection  between SS Dakovo (HR) and TPP Tuzla/Gradacac (BA) by 400 kV lines.,False,"""name""=>""Dakovo"", ""country""=>""HR"", ""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/241"", ""tyndp2020_proj_id""=>""241"", ""tyndp2020_invest_id""=>""1278"", ""tyndp_status""=>""under_consideration"""
2106,18.436344,44.904884,2032,400.0,,Upgrading existing 220 kV SS Gradacac (BA) to 400 kV,False,"""name""=>""Gradacac"", ""country""=>""BA"", ""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/241"", ""tyndp2020_proj_id""=>""241"", ""tyndp2020_invest_id""=>""1531"", ""tyndp_status""=>""under_consideration"""
2749,-1.671123,41.952398,2030,400.0,,New 400 kV Aragon region subestation and connection to existing network and future cross border project,False,"""name""=>""Aragon region"", ""country""=>""ES"", ""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/270"", ""tyndp2020_proj_id""=>""270"", ""tyndp2020_invest_id""=>""1215"", ""tyndp_status""=>""planned_not_yet_permitting"""
2267,15.26017,44.886816,2029,400.0,Location of Lika substation based on TYNDP website map.,New Substation 400/110 kV Lika,False,"""name""=>""Lika"", ""country""=>""HR"", ""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/343"", ""tyndp2020_proj_id""=>""343"", ""tyndp2020_invest_id""=>""1535"", ""tyndp_status""=>""planned_not_yet_permitting"""
4500,18.287416,49.038186,2027,400.0,,"This investment consists of extension the new 400 kV substation Ladce, in order to loop 400 kV cross-border OHL from Ladce (SK) to Otrokovice (CZ). The new 400 kV substation Ladce will replace existing 220 kV substation Považská Bystrica and will therefore increase security of supply in this particular region. After commissioning this new 400 kV substation it will be possible to commission new 400 kV cross-border OHL from Ladce (SK) to Otrokovice (CZ).",False,"""name""=>""Ladce"", ""country""=>""SK"", ""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/330"", ""tyndp2020_proj_id""=>""330"", ""tyndp2020_invest_id""=>""1499"", ""tyndp_status""=>""planned_not_yet_permitting"""
4808,6.140853,49.688695,2025,400.0,,New 400/220/110 kV substation including transformer 400/220 kV to be commissioned in Bofferdange (LU),False,"""name""=>""Bofferdange"", ""country""=>""LU"", ""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/328"", ""tyndp2020_proj_id""=>""328"", ""tyndp2020_invest_id""=>""1629"", ""tyndp_status""=>""planned_not_yet_permitting"""
2732,-1.645402,42.818157,2029,400.0,,New substation Pamplona area 400 kV and connection to the 400 kV line Ichaso-Castejón/Muruarte?,False,"""name""=>""Pamplona area"", ""country""=>""ES"", ""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/276"", ""tyndp2020_proj_id""=>""276"", ""tyndp2020_invest_id""=>""1210"", ""tyndp_status""=>""planned_not_yet_permitting"""
2854,-8.273869552394737,42.46748640601422,2022,400.0,,"New northern interconnection. New 400kV substation Beariz (ES), previously Boboras",False,"""name""=>""Beariz"", ""country""=>""ES"", ""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/4"", ""tyndp2020_proj_id""=>""4"", ""tyndp2020_invest_id""=>""499"", ""tyndp_status""=>""in_permitting"""
2887,-7.793621146853301,41.52102394053344,2021,380.0,,New 400/60kV substation in Ribeira de Pena.,False,"""name""=>""Ribeira de Pena"", ""country""=>""PT"", ""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/1"", ""tyndp2020_proj_id""=>""1"", ""tyndp2020_invest_id""=>""474"", ""tyndp_status""=>""in_permitting"""
2176,20.739984,43.680615,2020,220.0,,Upgrade of SS Kraljevo,False,"""name""=>""Kraljevo 3"", ""country""=>""RS"", ""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/227"", ""tyndp2020_proj_id""=>""227"", ""tyndp2020_invest_id""=>""1528"", ""tyndp_status""=>""under_construction"""
