,investment_id,commissioning_year,status,asset_type,substation_1,substation_2,ac_dc,specified_length_km,country_1,country_2,s1,x1,y1,s2,x2,y2,coord_dist
155,309,2022,3,line,Vitkov,Prestice,AC,86.0,CZ,CZ,Vítkov,12.796326,50.159305,Přeštice,13.283844,49.60715,80.5965937159681
158,538,2020,3,line,Morella,La Plana,AC,78.0,ES,ES,Morella,-0.32684299999999,40.555548,La Plana,-0.225219999999991,40.125341,49.190517414561846
160,687,2023,3,line,Redwitz,Schwandorf,AC,185.0,DE,DE,Redwitz,11.179962,50.21558,Schwandorf,12.031403,49.350177,133.33509043744317
163,676,2026,3,line,Dollern,Elsfleht/West,AC,100.0,DE,DE,Dollerner Straße,53.5443,9.6008,Weststraße,53.2772,8.47497,80.55048892175805
164,939,2021,3,line,Conneforde,Emden/Ost,AC,60.0,,,Conneforde,8.12164300000001,53.300518,Emden,7.25646999999999,53.374317,96.02886922773651
166,150,2020,3,line,Conneforde,Wilhelmshaven,AC,30.0,DE,DE,Conneforde,8.12164300000001,53.300518,Wilhelmshaven,8.12576299999999,53.520717,24.27236428616016
167,151,2021,3,line,Wehrendorf,Ganderkesee,AC,95.0,DE,DE,Wehrendorf,8.28506499999999,52.34373,Ganderkesee,8.46633900000001,52.94781,69.48832757904773
168,156,2021,3,line,Niederrhein,Dörpen/West,AC,182.0,DE,DE,Niederrhein,6.61651600000001,51.629952,Dörpen/West,7.16171299999999,52.847571,147.46164025248095
176,627,2024,3,line,Bajina Basta,Visegrad,AC,45.2,RS,BA,Bajina Basta,19.6875,44.024422,Visegrad,19.389496,43.723475,45.67049592783739
177,628,2024,3,line,SS Bajina Basta,SS Obrenovac,AC,109.0,RS,RS,Bajina Basta,19.6875,44.024422,Obrenovac,20.128326,44.590467,76.77464800722916
178,630,2024,3,line,Bajina Basta,Pljevlja,AC,100.0,RS,ME,Bajina Basta,19.6875,44.024422,Pljevlja 1,19.259033,43.40405,80.57268003202987
181,1527,2020,4,line,SS Kragujevac,SS Kraljevo,AC,60.0,,,Kragujevac,20.967407,44.034295,Kraljevo,20.622711,43.687736,52.51875776365937
190,353,2021,3,line,Krajnik,Baczyna,AC,70.0,PL,PL,Krajnik,14.441528,53.164887,Baczyna,15.021057,52.686373,82.26075084431957
198,664,2025,3,line,"""Brunsbüttel, Wilster""","""Großgartach, Grafenrheinfeld""",DC,700.0,,,Brunsbüttel,9.24224899999999,53.906765,Grafenrheinfeld,10.081329,49.950336,444.022074655399
199,608,2019,4,line,Horta,Mercator,AC,50.0,BE,BE,Horta,3.574677,51.015483,Mercator,4.17892499999999,51.161261,68.75105025247603
212,1246,2019,4,line,Meeden,Diele,AC,27.0,NL,DE,Meeden,6.97631799999999,53.011478,Diele,7.375946,53.057723,44.48969760991373
217,147,2018,4,line,Dollern,Hamburg/Nord,AC,45.0,DE,DE,Dollern,9.516907,53.415262,Hamburg-Nord,9.94811999999999,53.812004,64.57521010971233
218,148,2017,4,line,Audorf,Hamburg/Nord,AC,65.0,DE,DE,Audorf,9.759979,54.305307,Hamburg-Nord,9.94811999999999,53.812004,57.9729683566626
226,660,2021,3,line,Osterath,Philippsburg,DC,340.0,DE,DE,Osterath,6.58630399999999,51.245584,Philippsburg,8.411407,49.20414,302.5001986837933
227,1251,2023,3,line,Muruarte,Ichaso,AC,145.0,,,Muruarte,-1.74682600000001,42.672339,Itxaso,-2.441711,43.055844,87.88699681959405
228,1455,2023,3,line,Castejon,Ichaso,AC,169.0,,,Castejón,-1.634216,42.161368,Itxaso,-2.441711,43.055844,133.69618621516366
231,667,2019,3,line,Brunsbüttel,Klixbüll,AC,125.0,DE,DE,Brunsbüttel,53.8973,9.13954,Klixbüll,54.8872,8.7106,113.65567906528507
237,1259,2025,3,line,Beznau,Mettlen,AC,64.0,,,Beznau,8.26995800000001,47.480088,Mettlen,8.298798,47.148634,36.6538522465217
238,1284,2021,4,line,Pradella,La Punt,AC,49.0,,,Pradella di sopra,46.1742,9.84192,La Punt-Chamues-ch,46.5508,9.9302,42.40992083465668
249,1229,2019,3,line,Aljarafe,Santiponce,AC,13.0,,,Aljarafe,-6.161957,37.260938,Santiponce,-5.983429,37.354876,22.314005406147277
275,445,2020,3,line,Zandvliet,Lillo - Liefkenshoek,AC,18.0,,,Zandvlietstraat,51.1865,4.38689,Liefkenshoektunnel,51.3002,4.30035,14.018825628618474
290,1472,2022,3,line,St. Peter,Tauern,AC,128.0,,,St. Peter,13.08197,48.25577,Tauern,12.671356,47.342545,109.0329068417026
291,1473,2021,3,line,Isar/Altheim/Ottenhofen,St. Peter,AC,90.0,DE,AT,Ottenhofen,11.825409,48.314255,St. Peter,13.08197,48.25577,139.1536171445567
295,1558,2018,3,line,Cirkovce,Heviz (HU) \ Zerjavinec,AC,80.0,SI,HR,Cirkovce,15.553894,46.274834,Žerjavinec,16.369629,45.848891,101.13124954240546
335,1543,2021,4,line,Borssele,Rilland,AC,40.0,,,Borsele,51.4255,3.73794,Rilland,51.4231,4.19806,32.004935759751454
336,1544,2025,3,line,Rilland,Tilburg,AC,80.0,,,Rifland,4.55108599999999,51.602666,Tilburg,5.20751999999999,51.571949,72.66990839823295
338,1546,2021,4,line,Eemshaven Oude Schip,Vierverlaten,AC,40.0,,,Eemshaven,6.811523,53.346452,Vierverlaten,6.49292,53.144299,41.72644605859666
354,1555,2024,3,line,Lienz,Veneto region,AC,140.0,AT,IT,Lienz,46.8298,12.7681,Viale della Regione Veneto,45.3992,11.9545,170.99977856813953
