,investment_id,commissioning_year,status,asset_type,substation_1,substation_2,ac_dc,specified_length_km,country_1,country_2,s1,x1,y1,s2,x2,y2,coord_dist
5,2.0,2022,3,line,Pedralva,Sobrado,AC,66.5,PT,PT,Pedralva,41.5599,-8.321,Sobrados,41.2407,-7.6181,68.64205435541913
6,3.0,2016,4,line,Pedralva,Ponte de Lima,AC,37.6,PT,PT,Pedralva,41.5599,-8.321,Ponte de Lima,41.7675,-8.5831,31.751470980332442
7,4.0,2021,3,line,V.Minho ,Feira ,AC,132.0,,,V. Minho,-7.761841,41.58258,Feira,-8.36883500000001,40.953974,96.47511197301476
12,8.0,2020,3,line,Seia,Penela,AC,108.0,,,Seia,40.4201,-7.70281,Penela,40.0294,-8.39024,72.83795393846239
15,496.0,2018,3,line,Fontefría,Vila Nova de Famalicão,AC,135.0,ES,PT,Fontefría,42.4762,-7.7897,Vila Nova de Famalicão,41.4079,-8.5198,133.2104605367011
21,18.0,2017,3,line,Beariz,Fontefria,AC,32.0,ES,ES,Beariz,-8.242493,42.375793,Fontefria,-8.393555,42.1746,27.754446447004014
70,144.0,2020,3,line,Audorf,Kassö,AC,124.0,DE,DK,Audorf,9.759979,54.305307,Kassø,9.29580699999999,55.074436,98.82704683571505
72,447.0,2017,4,line,Heisdorf,Berchem,AC,20.0,LU,LU,Heisdorf,49.6725,6.1697,Chemin de Berchem,49.5124,6.0288,20.514579193365623
85,212.0,2020,3,line,Isar,St. Peter,AC,90.0,DE,AT,Isar,12.292328,48.659222,St. Peter,13.08197,48.25577,97.73190450788245
86,216.0,2021,3,line,St. Peter,Tauern,AC,128.0,AT,AT,St. Peter,13.08197,48.25577,Tauern,12.671356,47.342545,109.0329068417026
97,302.0,2016,4,line,Vyskov,Cechy Stred,AC,98.0,CZ,CZ,Výškovice,49.0871,13.7809,Osek,49.5961,13.4107,62.676229363884524
111,450.0,2016,4,line,Sellindge,Dungeness,AC,26.0,GB,GB,Sellindge,51.1086,0.9883,Dungeness Old Lighthouse,50.9137,0.9697,21.721589074922697
113,444.0,2017,4,line,Horta ,Stevin ,AC,50.0,,,Horta,3.574677,51.015483,Stevin,3.100891,51.285112,60.35400588102828
137,139.0,2018,4,line,Vierraden,Krajnik,AC,26.0,DE,PL,Vierraden,14.252014,53.089076,Krajnik,14.441528,53.164887,22.5065520220669
146,440.0,2019,4,line,Maasvlakte,Beverwijk,AC,65.0,NL,NL,Maasvlakte,4.06356799999999,51.936645,Beverwijk,4.72961400000001,52.459357,93.75845144408626
156,145.0,2017,4,line,Niederrhein,Doetinchem,AC,57.0,DE,NL,Niederrhein,6.61651600000001,51.629952,Doetinchem,6.26220699999999,52.000101,56.6734238607888
169,385.0,2019,4,line,Grobina,Imanta,AC,380.0,LV,LV,Grobina,21.283264,56.71958,Imanta,23.723602,56.954711,271.31689325686654
